gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	has_outliers	outlier_type	outlier_samples	outlier_values	non_outlier_range	group_pattern	likely_artifact	outlier_flag
DEG_ZERO_GRP_02	319.26	9.321	0.359	26.964	8.70315843762544e-05	0.000214088346468518	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_UP_02	337.48	2.158	0.208	6.52	0.000136892643626538	0.000437982232662151	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_DOWN_04	380.83	-2.091	0.254	-6.662	0.000167036581586464	0.000547988152462523	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_UP_03	402.35	2.429	0.314	7.496	0.00232585925626974	0.00603014720053412	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ZERO_GRP_04	282.15	9.143	0.62	27.717	0.00408647427811349	0.00763998668567278	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ZERO_GRP_03	197.57	8.63	0.436	25.627	0.00312992291127928	0.0101426582475679	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_DOWN_01	405.94	-2.235	0.271	-5.358	0.0116317557248168	0.0151480009615866	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_UP_01	415.27	2.271	0.212	6.806	0.0143208520440856	0.0190444847796035	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_UP_04	372.07	2.246	0.355	7.92	0.0147561256101277	0.0234421727637784	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ZERO_GRP_01	227.66	8.834	0.381	26.069	0.0261596589992807	0.0310707354816718	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_DOWN_02	414.41	-2.218	0.343	-5.851	0.0314949035678008	0.0361868979779417	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
DEG_ROBUST_DOWN_03	402.67	-2.426	0.165	-6.928	0.0184050647802804	0.038105603227017	FALSE	NA	NA	NA	NA	NA	FALSE	Clean
OUTL_PRESENT_03	641.64	3.366	0.399	9.134	0.00197805675106746	0.00425484494370269	TRUE	high_expression	S07	3842.84	101.55-593.61	Outliers in: treatment ( 1 )	FALSE	Outliers_Present
OUTL_PRESENT_01	603.82	3.652	0.181	10.855	0.00389680122707283	0.010072791951204	TRUE	high_expression	S08	3784.59	73.77-523.84	Outliers in: treatment ( 1 )	FALSE	Outliers_Present
OUTL_PRESENT_02	583.42	3.781	0.366	11.177	0.0174296379619879	0.0207945152988595	TRUE	high_expression	S07	3795.73	58.77-519.42	Outliers in: treatment ( 1 )	FALSE	Outliers_Present
ART_SPIKE_03	2674.23	9.466	0.208	27.918	0.00224311817672225	0.00518574451228487	TRUE	high_expression	S10	26672.54	1.71-13.68	Outliers in: treatment ( 1 )	TRUE	Artifact
ART_SPARSE_02	85.13	7.42	0.16	22.67	0.00413955720798948	0.00531167161744484	TRUE	sparse_expression	S09	851.33	NA	Expressed in 1/10 samples	TRUE	Artifact
ART_SPARSE_01	287.97	0.069	0.171	0.152	0.00404244225285227	0.0060373541718577	TRUE	sparse_expression	S02;S07	1405.31;1474.35	NA	Expressed in 2/10 samples	TRUE	Artifact
ART_SPARSE_04	48.34	-6.61	0.39	-19.62	0.0053331298449047	0.0122050237789424	TRUE	sparse_expression	S04	483.41	NA	Expressed in 1/10 samples	TRUE	Artifact
ART_SPIKE_02	1395.18	8.323	0.14	24.773	0.0133320845127879	0.0197903853387344	TRUE	high_expression	S06	13885.01	1.79-17.7	Outliers in: treatment ( 1 )	TRUE	Artifact
ART_SPIKE_01	2669.56	10.532	0.532	32.589	0.0141937757218008	0.0199714605141936	TRUE	high_expression	S10	26665.19	1.43-5.62	Outliers in: treatment ( 1 )	TRUE	Artifact
ART_SPARSE_03	144.54	-0.255	0.41	-1.417	0.0153435485709357	0.0324249520117694	TRUE	sparse_expression	S01;S06	786.78;658.57	NA	Expressed in 2/10 samples	TRUE	Artifact
ART_SPIKE_04	1821.46	8.981	0.032	27.71	0.0262513566666083	0.0331046932741143	TRUE	high_expression	S10	18170.28	0.73-12.17	Outliers in: treatment ( 1 )	TRUE	Artifact
