gene_id	S01	S02	S03	S04	S05	S06	S07	S08	S09	S10
DEG_ROBUST_UP_01	175.81	110.86	168.44	105.66	148.79	776.28	732.59	571.73	712.28	650.27
DEG_ROBUST_UP_02	91.28	150.7	107.26	134.2	131.21	633.09	259.49	505.21	677.07	685.28
DEG_ROBUST_UP_03	111.37	104.61	104.74	170.9	134.94	550.93	697.24	617.26	777.14	754.38
DEG_ROBUST_UP_04	140.79	160.61	160.93	83.94	98.14	627.45	477.23	741.91	624.64	605.05
DEG_ROBUST_DOWN_01	842.38	640.25	851.72	531.64	485.37	117.6	176.63	111.88	164.11	137.79
DEG_ROBUST_DOWN_02	423.5	789.58	841.72	649.18	710.31	148.48	105.25	223.24	108.36	144.5
DEG_ROBUST_DOWN_03	601.22	655.97	666.05	630.13	844.87	136.12	120.56	103.07	147.77	120.95
DEG_ROBUST_DOWN_04	777.72	331.76	656.68	697.07	624.28	101.56	180.58	140.37	145.81	152.48
DEG_ZERO_GRP_01	0	0	0	0	0	533.2	413.87	356.89	499.68	472.94
DEG_ZERO_GRP_02	0	0	0	0	0	835.55	589.81	343.69	657.12	766.48
DEG_ZERO_GRP_03	0	0	0	0	0	406.35	269.71	543.25	401.47	354.93
DEG_ZERO_GRP_04	0	0	0	0	0	708.11	655.55	527.74	576.39	353.75
ART_SPIKE_01	5.14	2.56	1.72	1.84	1.77	5.62	4.97	5.37	1.43	26665.19
ART_SPIKE_02	5.08	1.79	2.89	17.7	10.99	13885.01	5.6	9.76	4.24	8.72
ART_SPIKE_03	13.68	4.71	1.71	9.16	3.52	12.16	8.38	6.78	9.69	26672.54
ART_SPIKE_04	8.1	7.73	12.17	2.26	0.73	1.08	3.17	4.54	4.54	18170.28
OUTL_PRESENT_01	103.8	90.61	73.77	78.09	94.3	471.83	436.34	3784.59	381.01	523.84
OUTL_PRESENT_02	76.13	79.23	58.77	86.6	90.54	396.3	3795.73	519.42	392.62	338.87
OUTL_PRESENT_03	116.4	103.69	101.55	123.21	118.37	476.38	3842.84	593.61	447.74	492.63
ART_SPARSE_01	0	1405.31	0	0	0	0	1474.35	0	0	0
ART_SPARSE_02	0	0	0	0	0	0	0	0	851.33	0
ART_SPARSE_03	786.78	0	0	0	0	658.57	0	0	0	0
ART_SPARSE_04	0	0	0	483.41	0	0	0	0	0	0
NONDEG_01	155.64	155.51	205.76	113.58	142.01	195.36	166.49	149.05	154.19	202.13
NONDEG_02	726.8	691.65	681.41	302.83	1002.31	735.86	1322.18	1061.64	495.14	874.06
NONDEG_03	164.38	147.34	151.1	154.54	183.24	109.6	85.61	164.91	138.47	111.75
NONDEG_04	971.45	617.7	643.65	893.41	1239.54	1151.61	330.17	715.64	863.65	541.18
NONDEG_05	290.72	301.84	376.09	435.83	295.74	377.49	267.94	178.47	519.76	333.46
NONDEG_06	325.76	176.82	319.94	393.92	198.06	562.55	275.01	273.92	394.79	413.99
NONDEG_07	194.93	114.87	151.76	90.65	240.08	153.73	79.41	92.42	223.65	160.38
NONDEG_08	471.02	593.62	231.58	528.38	203.62	437.59	377.9	477.37	426.86	219.7
NONDEG_09	896.76	1062.05	896.17	784.32	453.43	568.12	986.14	501.96	1089.75	536.46
NONDEG_10	493.49	584.63	470.25	329.56	583.28	218.07	515	315.75	151.23	174.78
NONDEG_11	487.85	488.76	508.1	219.35	185.35	337.78	570.06	438.58	321.49	407.81
NONDEG_12	57.15	62.8	38.75	56.19	57.42	95.08	31.67	86.62	83.32	58.98
NONDEG_13	77.6	144.97	192.04	162.85	158.29	100.28	193.41	106.58	101.79	179.13
NONDEG_14	661.82	734.74	913.76	876.08	1280.09	899	912.04	99.34	925.11	473.69
NONDEG_15	44.4	88.95	51.43	46.46	33.13	51.63	82.08	58.06	81.96	57.2
NONDEG_16	131.97	178.6	244.41	142.83	156.09	231.88	149.18	105.13	142.08	158.11
NONDEG_17	1046.7	944.54	919.47	946.84	1078.91	790.52	775.33	694.54	644.26	994.82
NONDEG_18	101.12	174.63	112.83	124.3	169.56	134.68	244.91	158.45	154.12	177.83
