gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DEG_ROBUST_UP_01	415.27	2.271	0.212	6.806	0.0143208520440856	0.0190444847796035
DEG_ROBUST_UP_02	337.48	2.158	0.208	6.52	0.000136892643626538	0.000437982232662151
DEG_ROBUST_UP_03	402.35	2.429	0.314	7.496	0.00232585925626974	0.00603014720053412
DEG_ROBUST_UP_04	372.07	2.246	0.355	7.92	0.0147561256101277	0.0234421727637784
DEG_ROBUST_DOWN_01	405.94	-2.235	0.271	-5.358	0.0116317557248168	0.0151480009615866
DEG_ROBUST_DOWN_02	414.41	-2.218	0.343	-5.851	0.0314949035678008	0.0361868979779417
DEG_ROBUST_DOWN_03	402.67	-2.426	0.165	-6.928	0.0184050647802804	0.038105603227017
DEG_ROBUST_DOWN_04	380.83	-2.091	0.254	-6.662	0.000167036581586464	0.000547988152462523
DEG_ZERO_GRP_01	227.66	8.834	0.381	26.069	0.0261596589992807	0.0310707354816718
DEG_ZERO_GRP_02	319.26	9.321	0.359	26.964	8.70315843762544e-05	0.000214088346468518
DEG_ZERO_GRP_03	197.57	8.63	0.436	25.627	0.00312992291127928	0.0101426582475679
DEG_ZERO_GRP_04	282.15	9.143	0.62	27.717	0.00408647427811349	0.00763998668567278
ART_SPIKE_01	2669.56	10.532	0.532	32.589	0.0141937757218008	0.0199714605141936
ART_SPIKE_02	1395.18	8.323	0.14	24.773	0.0133320845127879	0.0197903853387344
ART_SPIKE_03	2674.23	9.466	0.208	27.918	0.00224311817672225	0.00518574451228487
ART_SPIKE_04	1821.46	8.981	0.032	27.71	0.0262513566666083	0.0331046932741143
OUTL_PRESENT_01	603.82	3.652	0.181	10.855	0.00389680122707283	0.010072791951204
OUTL_PRESENT_02	583.42	3.781	0.366	11.177	0.0174296379619879	0.0207945152988595
OUTL_PRESENT_03	641.64	3.366	0.399	9.134	0.00197805675106746	0.00425484494370269
ART_SPARSE_01	287.97	0.069	0.171	0.152	0.00404244225285227	0.0060373541718577
ART_SPARSE_02	85.13	7.42	0.16	22.67	0.00413955720798948	0.00531167161744484
ART_SPARSE_03	144.54	-0.255	0.41	-1.417	0.0153435485709357	0.0324249520117694
ART_SPARSE_04	48.34	-6.61	0.39	-19.62	0.0053331298449047	0.0122050237789424
NONDEG_01	163.97	0.166	0.297	0.941	0.205318744856473	0.587935342080891
NONDEG_02	789.39	0.398	0.325	0.362	0.166082510405215	0.471039939858019
NONDEG_03	141.09	-0.389	0.403	-1.862	0.103153609481742	0.316774354688823
NONDEG_04	796.8	-0.277	0.211	-1.585	0.195062780852506	0.308711284212768
NONDEG_05	337.73	-0.02	0.234	0.244	0.34690451052541	0.532160634920001
NONDEG_06	333.48	0.44	0.218	1.07	0.507946050091112	0.830836782045662
NONDEG_07	150.19	-0.158	0.224	-0.907	0.21222917701999	0.247228496335447
NONDEG_08	396.76	-0.064	0.264	0.364	0.176789601720662	0.274830189347267
NONDEG_09	777.52	-0.152	0.353	-0.947	0.343315227122721	0.572647944837809
NONDEG_10	383.6	-0.838	0.288	-3.226	0.407833450022294	0.835974856652319
NONDEG_11	396.51	0.135	0.273	0.523	0.217418371749218	0.430144289135933
NONDEG_12	62.8	0.379	0.371	1.457	0.173048791122618	0.554144881665707
NONDEG_13	141.69	-0.11	0.185	-1.09	0.421219775816435	0.820129698142409
NONDEG_14	777.57	-0.432	0.484	-1.13	0.152465757504079	0.421463736332953
NONDEG_15	59.53	0.319	0.344	0.784	0.562438991225738	0.888257457129657
NONDEG_16	164.03	-0.118	0.313	-1.121	0.448617297072049	0.535079962201417
NONDEG_17	883.59	-0.34	0.393	-1.232	0.194025613503647	0.568470856919885
NONDEG_18	155.24	0.348	0.14	1.507	0.520913004136587	0.659754409268498
